id,user_id,place,phone,client_name,total_amount,status,note,created_at,updated_at
68b0a89c-0727-47a9-9c6d-edf1bbb2f2ae,a54539de-fdad-4f6e-b2e5-d0064cdc1814,"7670 Garden Ln, Portland, MA 53086",+1-481-122-6492,Andrew Johnson,503,shipping,,2025-12-05 21:19:31.077718,2025-12-05 21:19:31.077718
dc1af3dc-3202-4ac9-b4f0-0c7e86840288,a54539de-fdad-4f6e-b2e5-d0064cdc1814,"1756 Maple Dr, Denver, TX 56337",+1-641-956-3562,Andrew Johnson,307,shipping,,2025-12-10 09:29:08.077718,2025-12-10 09:29:08.077718
b7a36f7e-5a06-478d-9909-2fce5ed92a83,a54539de-fdad-4f6e-b2e5-d0064cdc1814,"7670 Garden Ln, Portland, MA 53086",+1-481-122-6492,Andrew Johnson,234,shipping,,2026-04-17 02:20:32.077718,2026-04-17 02:20:32.077718
0e3c8130-5edf-44a4-963f-2dd6d4f4168c,a54539de-fdad-4f6e-b2e5-d0064cdc1814,"997 River Rd, Phoenix, AZ 93982",+1-204-573-7182,Andrew Johnson,190,completed,,2025-10-30 13:49:29.077718,2025-10-30 13:49:29.077718
2ba076fe-cfc7-463c-8218-1362b7213bad,572e7847-181a-4216-8815-cfefcbcf45df,"7779 Maple Dr, San Jose, NY 90877",+1-824-267-4552,Andrew Jones,322,awaiting_delivery,,2025-12-21 17:34:58.077718,2025-12-21 17:34:58.077718
8ad9b9e8-9277-4e4b-bd8e-43535ee1e0fe,572e7847-181a-4216-8815-cfefcbcf45df,"286 Broadway, Miami, CA 51957",+1-689-504-2097,Andrew Jones,260,awaiting_delivery,,2026-02-02 16:46:01.077718,2026-02-02 16:46:01.077718
350ee195-0aa0-400e-b710-27b226155428,431f9e86-6cc5-4b1c-b25d-b544b5cd92a2,"3033 Garden Ln, San Jose, MA 73108",+1-684-441-3139,Anthony Johnson,15,completed,,2026-03-30 10:00:37.077718,2026-03-30 10:00:37.077718
c18fa098-1284-43d1-9bb5-2b21cb8466a9,431f9e86-6cc5-4b1c-b25d-b544b5cd92a2,"9849 Pine Rd, Dallas, MA 97709",+1-857-405-1237,Anthony Johnson,133,completed,,2026-03-12 06:15:46.077718,2026-03-12 06:15:46.077718
a7059d82-6236-42bd-a4d9-e3c89c064a74,431f9e86-6cc5-4b1c-b25d-b544b5cd92a2,"3033 Garden Ln, San Jose, MA 73108",+1-684-441-3139,Anthony Johnson,527,awaiting_delivery,,2025-11-13 04:37:32.077718,2025-11-13 04:37:32.077718
3ee158f5-2d56-4464-b28d-c4459fe291c2,431f9e86-6cc5-4b1c-b25d-b544b5cd92a2,"9849 Pine Rd, Dallas, MA 97709",+1-857-405-1237,Anthony Johnson,340,completed,,2026-03-20 12:54:28.077718,2026-03-20 12:54:28.077718
e5eb1146-1ece-44a2-a383-178d76bd7622,431f9e86-6cc5-4b1c-b25d-b544b5cd92a2,"9849 Pine Rd, Dallas, MA 97709",+1-857-405-1237,Anthony Johnson,640,awaiting_delivery,,2026-03-10 22:00:54.077718,2026-03-10 22:00:54.077718
c941fbbd-e326-4f0d-85d3-43955a4ec0c6,1d589acd-1f76-4617-961d-88047ad63e52,"3699 Oak Ave, Portland, FL 97916",+1-346-487-1960,Anthony Thomas,60,completed,,2026-02-20 12:47:58.077718,2026-02-20 12:47:58.077718
584892c5-9ab8-4a5b-9ea7-58acdaadbe0b,c5ea68ab-2029-4853-aaa8-4d2346e35d88,"7170 Willow Way, Seattle, FL 51299",+1-341-296-1790,Barbara Lopez,36,completed,,2025-11-17 16:14:28.077718,2025-11-17 16:14:28.077718
c086d0a6-55b8-4c59-bf4b-0da1e29459d4,c5ea68ab-2029-4853-aaa8-4d2346e35d88,"5679 Cedar Ln, Phoenix, FL 85315",+1-332-839-3522,Barbara Lopez,211,returning,,2026-02-22 23:34:39.077718,2026-02-22 23:34:39.077718
edb02174-a1e7-4652-a8cd-d5da2397608e,c5ea68ab-2029-4853-aaa8-4d2346e35d88,"4552 Cedar Ln, Portland, OR 84976",+1-661-442-8927,Barbara Lopez,234,awaiting_delivery,,2025-12-13 21:52:55.077718,2025-12-13 21:52:55.077718
